0	40	1	430
40	80	-1	430
80	100	1	430
100	120	-1	430
120	200	1	430
200	240	-1	430
240	260	1	430
260	340	-1	430
340	360	1	430
360	400	-1	430
400	420	1	430
420	440	-1	430
440	500	1	430
500	560	-1	430
560	580	1	430
580	600	-1	430
600	640	1	430
666	13346	2	430
14000	14060	1	430
14060	14080	-1	430
14080	14100	1	430
14100	14120	-1	430
14120	14140	1	430
14140	14160	-1	430
14160	14180	1	430
14180	14220	-1	430
14220	14240	1	430
14240	14260	-1	430
14260	14280	1	430
14280	14300	-1	430
14300	14360	1	430
14360	14420	-1	430
14420	14440	1	430
14440	14540	-1	430
14540	14560	1	430
14560	14620	-1	430
14620	14640	1	430
14666	27346	2	430
28000	28040	1	430
28040	28060	-1	430
28060	28100	1	430
28100	28120	-1	430
28120	28140	1	430
28140	28180	-1	430
28180	28280	1	430
28280	28300	-1	430
28300	28360	1	430
28360	28380	-1	430
28380	28400	1	430
28400	28420	-1	430
28420	28440	1	430
28440	28460	-1	430
28460	28500	1	430
28500	28520	-1	430
28520	28540	1	430
28540	28580	-1	430
28580	28600	1	430
28600	28640	-1	430
28666	41346	2	430
42000	42100	1	430
42100	42120	-1	430
42120	42160	1	430
42160	42200	-1	430
42200	42220	1	430
42220	42340	-1	430
42340	42360	1	430
42360	42380	-1	430
42380	42420	1	430
42420	42440	-1	430
42440	42460	1	430
42460	42520	-1	430
42520	42620	1	430
42620	42640	-1	430
42666	55346	2	430
56000	56040	1	430
56040	56120	-1	430
56120	56160	1	430
56160	56220	-1	430
56220	56240	1	430
56240	56280	-1	430
56280	56300	1	430
56300	56320	-1	430
56320	56340	1	430
56340	56420	-1	430
56420	56440	1	430
56440	56480	-1	430
56480	56500	1	430
56500	56540	-1	430
56540	56600	1	430
56600	56640	-1	430
56666	69346	2	430
70000	70060	1	430
70060	70120	-1	430
70120	70140	1	430
70140	70180	-1	430
70180	70200	1	430
70200	70240	-1	430
70240	70320	1	430
70320	70400	-1	430
70400	70420	1	430
70420	70440	-1	430
70440	70480	1	430
70480	70580	-1	430
70580	70620	1	430
70620	70640	-1	430
70666	83346	2	430
84000	84040	1	430
84040	84060	-1	430
84060	84080	1	430
84080	84120	-1	430
84120	84140	1	430
84140	84160	-1	430
84160	84180	1	430
84180	84200	-1	430
84200	84220	1	430
84220	84260	-1	430
84260	84320	1	430
84320	84380	-1	430
84380	84420	1	430
84420	84440	-1	430
84440	84460	1	430
84460	84480	-1	430
84480	84500	1	430
84500	84520	-1	430
84520	84560	1	430
84560	84600	-1	430
84600	84640	1	430
84666	97346	2	430
98000	98080	1	430
98080	98120	-1	430
98120	98260	1	430
98260	98280	-1	430
98280	98300	1	430
98300	98320	-1	430
98320	98340	1	430
98340	98380	-1	430
98380	98400	1	430
98400	98420	-1	430
98420	98440	1	430
98440	98460	-1	430
98460	98480	1	430
98480	98520	-1	430
98520	98540	1	430
98540	98560	-1	430
98560	98580	1	430
98580	98620	-1	430
98620	98640	1	430
98666	111346	2	430
112000	112040	1	430
112040	112080	-1	430
112080	112180	1	430
112180	112200	-1	430
112200	112220	1	430
112220	112260	-1	430
112260	112280	1	430
112280	112300	-1	430
112300	112320	1	430
112320	112360	-1	430
112360	112380	1	430
112380	112400	-1	430
112400	112440	1	430
112440	112640	-1	430
112666	125346	2	430
126000	126060	1	430
126060	126080	-1	430
126080	126140	1	430
126140	126160	-1	430
126160	126260	1	430
126260	126320	-1	430
126320	126340	1	430
126340	126360	-1	430
126360	126380	1	430
126380	126440	-1	430
126440	126500	1	430
126500	126540	-1	430
126540	126580	1	430
126580	126600	-1	430
126600	126620	1	430
126620	126640	-1	430
126666	139346	2	430
140000	140040	1	430
140040	140060	-1	430
140060	140140	1	430
140140	140220	-1	430
140220	140240	1	430
140240	140320	-1	430
140320	140340	1	430
140340	140360	-1	430
140360	140400	1	430
140400	140440	-1	430
140440	140460	1	430
140460	140520	-1	430
140520	140540	1	430
140540	140560	-1	430
140560	140640	1	430
140666	153346	2	430
154000	154160	1	430
154160	154180	-1	430
154180	154200	1	430
154200	154240	-1	430
154240	154280	1	430
154280	154300	-1	430
154300	154320	1	430
154320	154360	-1	430
154360	154440	1	430
154440	154460	-1	430
154460	154500	1	430
154500	154520	-1	430
154520	154560	1	430
154560	154580	-1	430
154580	154600	1	430
154600	154620	-1	430
154620	154640	1	430
154666	167346	2	430
168000	168040	1	430
168040	168100	-1	430
168100	168160	1	430
168160	168180	-1	430
168180	168380	1	430
168380	168440	-1	430
168440	168480	1	430
168480	168540	-1	430
168540	168560	1	430
168560	168580	-1	430
168580	168640	1	430
168666	181346	2	430
182000	182060	1	430
182060	182100	-1	430
182100	182140	1	430
182140	182200	-1	430
182200	182220	1	430
182220	182280	-1	430
182280	182300	1	430
182300	182340	-1	430
182340	182380	1	430
182380	182400	-1	430
182400	182440	1	430
182440	182480	-1	430
182480	182500	1	430
182500	182560	-1	430
182560	182600	1	430
182600	182620	-1	430
182620	182640	1	430
182666	195346	2	430
196000	196040	1	430
196040	196060	-1	430
196060	196080	1	430
196080	196100	-1	430
196100	196140	1	430
196140	196160	-1	430
196160	196200	1	430
196200	196240	-1	430
196240	196260	1	430
196260	196280	-1	430
196280	196300	1	430
196300	196340	-1	430
196340	196440	1	430
196440	196460	-1	430
196460	196480	1	430
196480	196520	-1	430
196520	196580	1	430
196580	196640	-1	430
196666	209346	2	430
210000	210080	1	430
210080	210100	-1	430
