0	40	1	430
40	80	-1	430
80	100	1	430
100	120	-1	430
120	200	1	430
200	240	-1	430
240	260	1	430
260	340	-1	430
340	360	1	430
360	400	-1	430
400	420	1	430
420	440	-1	430
440	500	1	430
500	560	-1	430
560	580	1	430
580	600	-1	430
600	640	1	430
666	1666	2	430
2000	2060	1	430
2060	2080	-1	430
2080	2100	1	430
2100	2120	-1	430
2120	2140	1	430
2140	2160	-1	430
2160	2180	1	430
2180	2220	-1	430
2220	2240	1	430
2240	2260	-1	430
2260	2280	1	430
2280	2300	-1	430
2300	2360	1	430
2360	2420	-1	430
2420	2440	1	430
2440	2540	-1	430
2540	2560	1	430
2560	2620	-1	430
2620	2640	1	430
2666	3666	2	430
4000	4040	1	430
4040	4060	-1	430
4060	4100	1	430
4100	4120	-1	430
4120	4140	1	430
4140	4180	-1	430
4180	4280	1	430
4280	4300	-1	430
4300	4360	1	430
4360	4380	-1	430
4380	4400	1	430
4400	4420	-1	430
4420	4440	1	430
4440	4460	-1	430
4460	4500	1	430
4500	4520	-1	430
4520	4540	1	430
4540	4580	-1	430
4580	4600	1	430
4600	4640	-1	430
4666	5666	2	430
6000	6100	1	430
6100	6120	-1	430
6120	6160	1	430
6160	6200	-1	430
6200	6220	1	430
6220	6340	-1	430
6340	6360	1	430
6360	6380	-1	430
6380	6420	1	430
6420	6440	-1	430
6440	6460	1	430
6460	6520	-1	430
6520	6620	1	430
6620	6640	-1	430
6666	7666	2	430
8000	8040	1	430
8040	8120	-1	430
8120	8160	1	430
8160	8220	-1	430
8220	8240	1	430
8240	8280	-1	430
8280	8300	1	430
8300	8320	-1	430
8320	8340	1	430
8340	8420	-1	430
8420	8440	1	430
8440	8480	-1	430
8480	8500	1	430
8500	8540	-1	430
8540	8600	1	430
8600	8640	-1	430
8666	9666	2	430
10000	10060	1	430
10060	10120	-1	430
10120	10140	1	430
10140	10180	-1	430
10180	10200	1	430
10200	10240	-1	430
10240	10320	1	430
10320	10400	-1	430
10400	10420	1	430
10420	10440	-1	430
10440	10480	1	430
10480	10580	-1	430
10580	10620	1	430
10620	10640	-1	430
10666	11666	2	430
12000	12040	1	430
12040	12060	-1	430
12060	12080	1	430
12080	12120	-1	430
12120	12140	1	430
12140	12160	-1	430
12160	12180	1	430
12180	12200	-1	430
12200	12220	1	430
12220	12260	-1	430
12260	12320	1	430
12320	12380	-1	430
12380	12420	1	430
12420	12440	-1	430
12440	12460	1	430
12460	12480	-1	430
12480	12500	1	430
12500	12520	-1	430
12520	12560	1	430
12560	12600	-1	430
12600	12640	1	430
12666	13666	2	430
14000	14080	1	430
14080	14120	-1	430
14120	14260	1	430
14260	14280	-1	430
14280	14300	1	430
14300	14320	-1	430
14320	14340	1	430
14340	14380	-1	430
14380	14400	1	430
14400	14420	-1	430
14420	14440	1	430
14440	14460	-1	430
14460	14480	1	430
14480	14520	-1	430
14520	14540	1	430
14540	14560	-1	430
14560	14580	1	430
14580	14620	-1	430
14620	14640	1	430
14666	15666	2	430
16000	16040	1	430
16040	16080	-1	430
16080	16180	1	430
16180	16200	-1	430
16200	16220	1	430
16220	16260	-1	430
16260	16280	1	430
16280	16300	-1	430
16300	16320	1	430
16320	16360	-1	430
16360	16380	1	430
16380	16400	-1	430
16400	16440	1	430
16440	16640	-1	430
16666	17666	2	430
18000	18060	1	430
18060	18080	-1	430
18080	18140	1	430
18140	18160	-1	430
18160	18260	1	430
18260	18320	-1	430
18320	18340	1	430
18340	18360	-1	430
18360	18380	1	430
18380	18440	-1	430
18440	18500	1	430
18500	18540	-1	430
18540	18580	1	430
18580	18600	-1	430
18600	18620	1	430
18620	18640	-1	430
18666	19666	2	430
20000	20040	1	430
20040	20060	-1	430
20060	20140	1	430
20140	20220	-1	430
20220	20240	1	430
20240	20320	-1	430
20320	20340	1	430
20340	20360	-1	430
20360	20400	1	430
20400	20440	-1	430
20440	20460	1	430
20460	20520	-1	430
20520	20540	1	430
20540	20560	-1	430
20560	20640	1	430
20666	21666	2	430
22000	22160	1	430
22160	22180	-1	430
22180	22200	1	430
22200	22240	-1	430
22240	22280	1	430
22280	22300	-1	430
22300	22320	1	430
22320	22360	-1	430
22360	22440	1	430
22440	22460	-1	430
22460	22500	1	430
22500	22520	-1	430
22520	22560	1	430
22560	22580	-1	430
22580	22600	1	430
22600	22620	-1	430
22620	22640	1	430
22666	23666	2	430
24000	24040	1	430
24040	24100	-1	430
24100	24160	1	430
24160	24180	-1	430
24180	24380	1	430
24380	24440	-1	430
24440	24480	1	430
24480	24540	-1	430
24540	24560	1	430
24560	24580	-1	430
24580	24640	1	430
24666	25666	2	430
26000	26060	1	430
26060	26100	-1	430
26100	26140	1	430
26140	26200	-1	430
26200	26220	1	430
26220	26280	-1	430
26280	26300	1	430
26300	26340	-1	430
26340	26380	1	430
26380	26400	-1	430
26400	26440	1	430
26440	26480	-1	430
26480	26500	1	430
26500	26560	-1	430
26560	26600	1	430
26600	26620	-1	430
26620	26640	1	430
26666	27666	2	430
28000	28040	1	430
28040	28060	-1	430
28060	28080	1	430
28080	28100	-1	430
28100	28140	1	430
28140	28160	-1	430
28160	28200	1	430
28200	28240	-1	430
28240	28260	1	430
28260	28280	-1	430
28280	28300	1	430
28300	28340	-1	430
28340	28440	1	430
28440	28460	-1	430
28460	28480	1	430
28480	28520	-1	430
28520	28580	1	430
28580	28640	-1	430
28666	29666	2	430
30000	30080	1	430
30080	30100	-1	430
