666	7006	2	430
14666	21006	2	430
28666	35006	2	430
42666	49006	2	430
56666	63006	2	430
70666	77006	2	430
84666	91006	2	430
98666	105006	2	430
112666	119006	2	430
126666	133006	2	430
140666	147006	2	430
154666	161006	2	430
168666	175006	2	430
182666	189006	2	430
196666	203006	2	430
210666	217006	2	430
224666	231006	2	430
238666	245006	2	430
252666	259006	2	430
266666	273006	2	430
280666	287006	2	430
294666	301006	2	430
308666	315006	2	430
322666	329006	2	430
336666	343006	2	430
350666	357006	2	430
364666	371006	2	430
378666	385006	2	430
392666	399006	2	430
406666	413006	2	430
420666	427006	2	430
434666	441006	2	430
448666	455006	2	430
462666	469006	2	430
476666	483006	2	430
490666	497006	2	430
504666	511006	2	430
518666	525006	2	430
532666	539006	2	430
546666	553006	2	430
560666	567006	2	430
574666	581006	2	430
588666	595006	2	430
602666	609006	2	430
616666	623006	2	430
630666	637006	2	430
644666	651006	2	430
658666	665006	2	430
672666	679006	2	430
686666	693006	2	430
700666	707006	2	430
714666	721006	2	430
728666	735006	2	430
742666	749006	2	430
756666	763006	2	430
770666	777006	2	430
784666	791006	2	430
798666	805006	2	430
812666	819006	2	430
826666	833006	2	430
840666	847006	2	430
854666	861006	2	430
868666	875006	2	430
882666	889006	2	430
