6	1826	2	430
2006	3826	2	430
4006	5826	2	430
6006	7826	2	430
8006	9826	2	430
10006	11826	2	430
12006	13826	2	430
14006	15826	2	430
16006	17826	2	430
18006	19826	2	430
20006	21826	2	430
22006	23826	2	430
24006	25826	2	430
26006	27826	2	430
28006	29826	2	430
30006	31826	2	430
32006	33826	2	430
34006	35826	2	430
36006	37826	2	430
38006	39826	2	430
40006	41826	2	430
42006	43826	2	430
44006	45826	2	430
46006	47826	2	430
48006	49826	2	430
50006	51826	2	430
52006	53826	2	430
54006	55826	2	430
56006	57826	2	430
58006	59826	2	430
60006	61826	2	430
62006	63826	2	430
64006	65826	2	430
66006	67826	2	430
68006	69826	2	430
70006	71826	2	430
72006	73826	2	430
74006	75826	2	430
76006	77826	2	430
78006	79826	2	430
80006	81826	2	430
82006	83826	2	430
84006	85826	2	430
86006	87826	2	430
88006	89826	2	430
90006	91826	2	430
92006	93826	2	430
94006	95826	2	430
96006	97826	2	430
98006	99826	2	430
100006	101826	2	430
102006	103826	2	430
104006	105826	2	430
106006	107826	2	430
108006	109826	2	430
110006	111826	2	430
112006	113826	2	430
114006	115826	2	430
116006	117826	2	430
118006	119826	2	430
120006	121826	2	430
122006	123826	2	430
124006	125826	2	430
126006	127826	2	430
