Date/time	 9  Mode Anode PS V	10  Mode Anode PS I	11  Oil Temperature	12  Water In Temperature	13  Collector Temperature	15  Body Temperature	21  Magnet Current	25  Vac Ion	31  Filament V	32  Filament I	41  Klystron Average P	42  Reflected Power	52  High Voltage Kv	53  High Voltage Amp	55  Beam Amps	57  HV Phase A I	58  HV Phase B I	59  HV Phase C I	
06:52:46-19.09.00	0,94	0,07	0,02	10,01	10,01	10,01	0,01	0,00	0,01	0,02	0,24	1,04	0,02	0,00	0,00	0,11	0,09	0,09	
07:02:47-19.09.00	0,13	0,46	26,06	16,68	16,32	16,44	21,97	0,05	17,04	0,03	5,55	6,48	0,09	0,01	0,00	0,11	0,09	0,09	
07:12:47-19.09.00	0,13	0,42	26,18	15,54	15,02	15,79	21,97	0,03	17,06	0,02	5,62	8,04	0,19	0,02	0,00	0,18	0,16	0,09	
07:22:47-19.09.00	0,17	0,85	26,27	15,34	14,84	15,24	22,04	0,03	17,09	0,06	4,03	10,12	0,16	0,02	0,00	0,09	0,09	0,09	
07:32:47-19.09.00	0,15	0,90	26,38	15,81	15,31	15,64	22,00	0,03	17,02	0,03	4,52	7,78	0,20	0,02	0,00	0,09	0,09	0,09	
07:42:47-19.09.00	0,14	0,73	26,66	16,18	15,73	15,98	22,01	0,03	17,08	0,06	5,13	9,34	0,08	0,02	0,00	0,11	0,09	0,09	
07:52:47-19.09.00	0,17	0,59	26,92	16,59	16,27	16,43	21,98	0,03	17,10	0,04	4,82	9,08	19,94	0,01	0,00	17,05	15,79	15,17	
08:02:47-19.09.00	0,14	0,25	27,27	17,03	16,77	16,89	22,04	0,03	17,02	0,07	4,33	6,74	0,15	0,03	0,00	0,09	0,09	0,09	
08:12:47-19.09.00	0,14	0,75	27,46	17,46	17,17	17,28	22,00	0,03	17,06	0,02	5,07	6,74	0,14	0,03	0,00	0,16	0,09	0,11	
08:22:47-19.09.00	0,15	0,76	27,86	17,86	17,63	17,63	21,96	0,02	17,03	0,08	5,86	6,74	0,16	0,02	0,00	0,09	0,09	0,14	
08:32:47-19.09.00	0,16	0,49	28,02	18,15	18,10	18,03	21,88	0,03	16,97	0,06	5,13	7,52	19,85	0,03	0,00	17,28	16,27	14,81	
08:42:47-19.09.00	0,16	0,42	28,42	18,43	18,33	18,30	21,89	0,03	16,96	0,06	5,19	4,15	19,90	0,02	0,00	16,78	15,56	14,69	
08:52:47-19.09.00	0,15	0,49	28,58	17,60	17,32	17,47	21,85	0,02	17,01	0,02	5,55	9,34	19,98	0,02	0,00	16,82	15,88	14,74	
09:02:47-19.09.00	0,15	0,41	28,91	18,05	17,86	17,86	21,87	0,03	17,05	0,03	4,70	7,78	0,21	0,02	0,00	0,11	0,11	0,09	
09:12:47-19.09.00	0,17	0,31	28,86	18,48	18,39	18,25	21,81	0,01	16,90	0,06	4,82	1,56	0,30	0,02	0,00	0,09	0,09	0,09	
09:22:47-19.09.00	0,15	0,53	28,90	17,44	17,21	17,34	21,84	0,02	17,06	0,05	4,52	9,34	0,18	0,03	0,00	0,18	0,09	0,11	
09:32:47-19.09.00	0,12	0,42	29,02	17,79	17,62	17,65	21,86	0,03	17,02	0,06	4,94	8,30	0,19	0,03	0,00	0,16	0,09	0,09	
09:42:47-19.09.00	0,14	0,93	29,00	18,33	18,15	18,15	21,79	0,03	17,03	0,04	4,76	8,56	0,21	0,03	0,00	0,11	0,09	0,14	
